非洲	Africa
Kalmykia Khiung-fò-koet	Calmucchia
Weimar	Weimar
Osasco	Osasco (San Paolo)
Â-là-kung	Aragona
Kak-là-sṳ̂-kô	Glasgow
Thùng-hói Kî-chhòng	Aeroporto di Dong Hoi
Vú-lîn-ngièn Fûng-kín Miàng-sṳn-khî	Wulingyuan
分類:Thòi-vân li̍t-sṳ́	Categoria:Storia di Taiwan
Curitiba	Curitiba
Chloë Grace Moretz	Chloë Grace Moretz
Khûng-chṳ́	Confucio
Corbin Bleu	Corbin Bleu
分類:Sṳ-ho̍k	Categoria:Matematica
分類:Ngìn-kûng ngî-ngièn	Categoria:Lingue artificiali
Pâ-lî-sén	Bali
Mî-kîm	Dollaro statunitense
Thi-chûng-hói	Mar Mediterraneo
Hông-chû-sṳ	Hangzhou
Kî-tuk-kau	Cristianesimo
Tûng Nú-sâ Tên-kâ-là-sén	Nusa Tenggara Orientale
Sî Nú-sâ Tên-kâ-là-sén	Nusa Tenggara Occidentale
Chûng Sû-lâ-vî-sî-sén	Sulawesi Centrale
Kô-lùn-tá-lo̍k-sén	Provincia di Gorontalo
Pet Sû-lâ-vî-sî-sén	Sulawesi Settentrionale
Tûng-nàm Sû-lâ-vî-sî-sén	Sulawesi Sudorientale
Nàm Sû-lâ-vî-sî-sén	Sulawesi Meridionale
Sî Sû-lâ-vî-sî-sén	Sulawesi Occidentale
Mâ-lû-kú-sén	Provincia di Maluku
Pet Mâ-lû-kú-sén	Maluku Settentrionale
Pâ-pu-â-sén	Papua (provincia indonesiana)
Sî Pâ-pu-â-sén	Papua Occidentale
Dagestan Khiung-fò-koet	Daghestan
Sú-tû	Capitale (città)
Monzón	Monzón
Phù-thò-ngà-ngî	Lingua portoghese
Ngie̍t	Mese
Mustafa Kemal Atatürk	Mustafa Kemal Atatürk
Makhachkala	Machačkala
Chechnya Khiung-fò-koet	Cecenia
Grozny	Groznyj
Almazán	Almazán
Vòng Hien-fàm	Huang Xianfan
Ingushetia Khiung-fò-koet	Inguscezia
Magas	Magas
Pet Ossetia–Alania Khiung-fò-koet	Ossezia Settentrionale-Alania
Kabardino-Balkaria Khiung-fò-koet	Cabardino-Balcaria
Tson-sa̍k	Diamante
Bill Gates	Bill Gates
Ngi̍t-ngî	Lingua giapponese
Pak-khô-chhiòn-sû	Enciclopedia
頭頁	Pagina principale
Karachay-Cherkessia Khiung-fò-koet	Karačaj-Circassia
Saratov	Saratov
Saratov-chû	Oblast' di Saratov
Orenburg-chû	Oblast' di Orenburg
Mordovia Khiung-fò-koet	Mordovia
Saransk	Saransk
Yâ-khiù	Baseball
Làm-khiù	Pallacanestro
Kirov-chû	Oblast' di Kirov
Udmurtia Khiung-fò-koet	Udmurtia
Sî-pak-li-â	Siberia
Mari El Khiung-fò-koet	Repubblica dei Mari
Yoshkar-Ola	Joškar-Ola
Stellenbosch	Stellenbosch
Sverdlovsk-chû	Oblast' di Sverdlovsk
Cape Town	Città del Capo
Chuvash Khiung-fò-koet	Ciuvascia
Durban	Durban
Cheboksary	Čeboksary
Tat-tat-sṳ̂-thán Khiung-fò-koet	Tatarstan
Penza-chû	Oblast' di Penza
Là-fî-ngì	Raffaello Sanzio
Pí-tet Lû-pún-sṳ̂	Pieter Paul Rubens
Ulyanovsk-chû	Oblast' di Ul'janovsk
Gung-gung-hi-tsaa	Autobus
