ཨ་རུ་ནཱ་ཅལ་མངའ་སྡེ།	Arunachal Pradesh
ཨཱསཱམ།	Assam
སྦི་ཧཱར།	Bihar
མི་ཅི་གྷན།	Michigan
ཆར་ཊི་སི་གྷར།	Chhattisgarh
གྷོའ།	Goa
ཧ་རི་ཡཱ་ཎཱ།	Haryana
ཧི་མ་ཅལ་མངའ་སྡེ།	Himachal Pradesh
ཇ་མུ་དང་ཀ་ཤི་མིར།	Jammu e Kashmir
རྗར་ཁན་ཌི།	Jharkhand
ཁར་ན་ཀྲ་ཁཱ།	Karnataka
ཀེ་ར་ལཱ།	Kerala
མཱ་ནི་པུར།	Manipur
མོན་ཏཱ་ན།	Montana
ཝ་ཡོ་མིང་།	Wyoming
ཇེ་རུ་ས་ལེམ།	Gerusalemme
ཝ་ཤིན་ཏྲོན། (རྒྱལ་ཁབ།)	Washington (stato)
ནེ་བ་ད།	Nevada
ཏོན་གཙང་པོ།	Don (fiume russo)
ཝེ་ནེ་ཏོ།	Veneto
ཁོ་སོ་ཝོ།	Kosovo
ཁོ་ལོ་ར་ཌོ།	Colorado
ཁོ་ལོ་ར་ཌོ་གཙང་པོ།	Colorado (Colorado)
Category:རིགས།	Categoria:Categorie
ཕི་ལེ་ཟི་ཕ་སི་ཁལ།	Blaise Pascal
མཆོང་སྒྲིག་མིག་མངས།	Dama
དགུན་ཁ།	Inverno
དཔྱིད།	Primavera
དབྱར་ཁ།	Estate
སྟོན་ཁ།	Autunno
སེ་པན་སྐད།	Lingua spagnola
མཱོན་ཊི་ཝི་ཌོ།	Montevideo
ཀ་ལི་ཀུ་ཏ	Calcutta
དྷ་ཁ།	Dacca
ཨི་སི་ལམ་བོ།	Islamabad
ཤིང་ཏོག	Frutto
དངུལ་ལོར།	Denaro
ཝིར་ཇི་ནི་ཡ།	Virginia
མ་རིས་ལེན་ཌ།	Maryland
དྷེའི་ལ་ཝར།	Delaware
ལེ་ཉིན།	Lenin
ཨོ་ཧེའོ།	Ohio
བིར་སྒྲེལ།	Publio Virgilio Marone
ཕེན་སུལ་ཝེ་ནའི་ཡ།	Pennsylvania
པོ་ཅ་ཆུའུ།	Giovanni Boccaccio
ཨའོ་ཀུའུ་སི་ཏུའུ།	Augusto
ནེའུ་ཇེར་སས།	New Jersey
ཨིན་ཌི་ཡཱ་ན།	Indiana
འཇོར་ཇི་ཡ། (ཨ་མེ་རི་ཁ།)	Georgia (Stati Uniti d'America)
མར་ཁུའུ་སེ་ཨའུ་རེ་ལིའུ་སེ།	Marco Aurelio
ཛག་རེབ།	Zagabria
ཋེག་ཟ་སི།	Texas
ཏཱ་མིལ་ན་ཌུ།	Tamil Nadu
ཁ་རོ་ལི་ན་ལྷོ་ཕྱོགས།	Carolina del Sud
སི་ཅི་ལི་ཡ།	Sicilia
མ་ནི་ལ།	Manila
ལུའུ་ཝར་གཙང་པོ།	Loira
སེ་ན་གཙང་པོ།	Senna
པུ་ཨེ་ནོ་སི་ཨས་རི་སི།	Buenos Aires
མེག་སི་ཀོ་གྲོང་།	Città del Messico
ཐོ་ཁེ་ཡོ།	Tokyo
བྷར་སེ་ལོ་ནཱ།	Barcellona
ཐང་འབྲས།	Ananas comosus
མི་སི་སི་ཕི།	Mississippi
མི་སི་སི་ཕི་གཙང་པོ།	Mississippi (fiume)
འབྲས་ལྗོངས།	Sikkim
ཐེན་ནེ་སི།	Tennessee
ཨ་པོའུ་དྷ་པེ།	Abu Dhabi
ཨ་སི་ཐ་ན།	Astana
མེག་སི་ཀོ་གསར་མ།	Nuovo Messico
ཨ་ཐེན།	Atene
པ་ག་ཏ	Baghdad
ཁ་ར་ཁ་སི	Caracas
ཝིས་སི་ཁོན་སིན།	Wisconsin
ཡོ་བ།	Iowa
གུ་ཝེ་ཐི་མ་ལ་གྲོང་ཁྱེར།	Città del Guatemala
ཁན་སཱ་སི།	Kansas
ཧ་ཝན	L'Avana
རྒྱ་གར་སྐད།	Lingua hindi
ཤོག་དྲིལ་དུ་བ།	Sigaretta
ཚོགས་བདག	Ganesha
ལུའི་ཟི་ཨཱན་ནཱ།	Louisiana
ཨར་ཁན་སཱ་སི།	Arkansas
ཕའི་ཆིའུ་སྤོ་ལོ།	Pallavolo
ཝི་ཨེ་ན།	Vienna
ཁོ་ཕེན་ཧ་ཀེན།	Copenaghen
སི་ཏོག་ཧོ་ལིམ།	Stoccolma
ཧེལ་སིན་ཀི།	Helsinki
དུབ་ལིན།	Dublino
རེཀ་ཇ་བིཀ།	Reykjavík
ཏཱལ་་ལིན།	Tallinn
རི་ག	Riga
བ་ར་ཏིསི་ལ་བ།	Bratislava
བུ་ད་ཕེ་སིད།	Budapest
ལུ་སེམ་བའུརག (གྲོང་རྡལ།)	Lussemburgo (città)
བ་དུ་ཛི།	Vaduz
གསུང་རབ།	Bibbia
སན་མ་རི་ནོ། (གྲོང་རྡལ།)	Città di San Marino
ཕོམ་ཕེན།	Phnom Penh
ཧོ་ཀྲི་མིན་གྲོང་ཁྱེར།	Ho Chi Minh (città)
ཧེ་ནོ།	Hanoi
སྟོན་པ་ཡེ་ཤུའི་ཆོས་ཚོགས།	Vera Chiesa di Gesù
དབྱིན་ཇིའི་སྐད།	Lingua inglese
པན་ཀོག	Bangkok
ཨན་ཌོར་ར་གྲོང་ཁྱེར།	Andorra la Vella
ཁལ་ལུང་ཕུ།	Kuala Lumpur
ཐའེ་པེ	Taipei
ཕྱི་འབྲིལ།	Diplomazia
ཀིབ།	Kiev
ཨོ་ཏ་ཝ།	Ottawa
ཡེ་རེ་ཝན།	Erevan
ཏ་རེ་སི་ས་ལམ།	Dar es Salaam
ཁར་ཏུམ།	Khartum
༢༠༠༩	2009
ཝེ་རོ་ན།	Verona
ཧྥུ་ལོ་རོན་ཟིའུ་ཡ།	Firenze
ཨེ་ཏི་མོན་ཐོན།	Edmonton
སྦྲུལ།	Serpentes
ཁ་ཐོག་གི་ཆགས་སྦྱོར།	Sesso orale
ཁོའོ་ལུ་ཧྲི།	Coluche
ལུའོ་མུའུ་ལུའོ་སི་དང་རུའེ་མོ་སི།	Romolo e Remo
ཞི་པི་ཨ་ཨ་ཧྥེ་རི་ཁ་ནུའོ་སི།	Publio Cornelio Scipione
མིན་སིཀ།	Minsk
རྫས་འགྱུར་རིག་པ།	Chimica
༡༩༨༩	1989
༡༩༨༡	1981
མོ་ག་དི་ཤུ།	Mogadiscio
ན་སའོ། (བ་ཧ་མཱ་སི།)	Nassau
